Series_Title,Released_Year,Genre,IMDB_Rating,Overview,No_of_Votes,Gross,Movie_Success,Average IMBD Rating by Gener,Unnamed: 9,sentiment_score,sentiment
Logan,2017,"Action, Drama, Sci-Fi",8.1,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",647884,226277068.0,Hit,"Drama, Western",24.2,0.7717,Positive
Room,2015,"Drama, Thriller",8.1,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",371538,14677674.0,Average,"Family, Fantasy, Musical",7.8,0.8225,Positive
Relatos salvajes,2014,"Comedy, Drama, Thriller",8.1,Six short stories that explore the extremities of human behavior involving people in distress.,177059,3107072.0,Average,"Family, Sci-Fi",7.8,-0.5267,Negative
Kis Uykusu,2014,Drama,8.1,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,46547,165520.0,Average,"Film-Noir, Mystery",8,-0.3818,Negative
PK,2014,"Comedy, Drama, Musical",8.1,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,163061,10616104.0,Average,"Film-Noir, Mystery, Thriller",8.1,0.0258,Neutral
OMG: Oh My God!,2012,"Comedy, Drama, Fantasy",8.1,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,51739,923221.0,Average,Horror,15.8,-0.2732,Negative
The Grand Budapest Hotel,2014,"Adventure, Comedy, Crime",8.1,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",707630,59100318.0,Average,"Horror, Mystery, Sci-Fi",8.1,0.6486,Positive
Gone Girl,2014,"Drama, Mystery, Thriller",8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",859695,167767189.0,Hit,"Horror, Mystery, Thriller",31.4,-0.3891,Negative
Hacksaw Ridge,2016,"Biography, Drama, History",8.1,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",435928,67209615.0,Average,"Horror, Sci-Fi",8.4,-0.5946,Negative
Inside Out,2015,"Animation, Adventure, Comedy",8.1,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",616228,356461711.0,Hit,"Horror, Thriller",15.6,-0.7906,Negative
Barfi!,2012,"Comedy, Drama, Romance",8.1,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,75721,2804874.0,Average,"Mystery, Romance, Thriller",8.3,0.6369,Positive
12 Years a Slave,2013,"Biography, Drama, History",8.1,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",640533,56671993.0,Average,"Mystery, Sci-Fi, Thriller",15.6,-0.4588,Negative
Rush,2013,"Action, Biography, Drama",8.1,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,432811,26947624.0,Average,"Mystery, Thriller",48.7,0.0,Neutral
Ford v Ferrari,2019,"Action, Biography, Drama",8.1,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,291289,117624028.0,Hit,Thriller,7.8,-0.6808,Negative
Spotlight,2015,"Biography, Crime, Drama",8.1,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",420316,45055776.0,Average,Western,33.4,-0.7096,Negative
Song of the Sea,2014,"Animation, Adventure, Drama",8.1,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",51679,857524.0,Average,Grand Total,6603.9,0.8591,Positive
Kahaani,2012,"Mystery, Thriller",8.1,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",57806,1035953.0,Average,,,-0.6486,Negative
Zindagi Na Milegi Dobara,2011,"Comedy, Drama",8.1,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,67927,3108485.0,Average,,,0.836,Positive
Prisoners,2013,"Crime, Drama, Mystery",8.1,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",601149,61002302.0,Average,,,-0.0258,Neutral
Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi",8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",882316,154058340.0,Hit,,,-0.4767,Negative
Gran Torino,2008,Drama,8.1,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",720450,148095302.0,Hit,,,-0.5719,Negative
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Drama, Fantasy",8.1,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",764493,381011219.0,Hit,,,-0.8481,Negative
Okuribito,2008,"Drama, Music",8.1,A newly unemployed cellist takes a job preparing the dead for funerals.,48582,1498210.0,Average,,,-0.7845,Negative
How to Train Your Dragon,2010,"Animation, Action, Adventure",8.1,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",666773,217581231.0,Hit,,,0.2023,Positive
Into the Wild,2007,"Adventure, Biography, Drama",8.1,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",572921,18354356.0,Average,,,0.3182,Positive
No Country for Old Men,2007,"Crime, Drama, Thriller",8.1,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,856916,74283625.0,Average,,,-0.802,Negative
Lage Raho Munna Bhai,2006,"Comedy, Drama, Romance",8.1,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,43137,2217561.0,Average,,,-0.3818,Negative
Million Dollar Baby,2004,"Drama, Sport",8.1,A determined woman works with a hardened boxing trainer to become a professional.,635975,100492203.0,Hit,,,0.34,Positive
Hotel Rwanda,2004,"Biography, Drama, History",8.1,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",334320,23530892.0,Average,,,-0.3182,Negative
Taegukgi hwinalrimyeo,2004,"Action, Drama, War",8.1,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",37820,1111061.0,Average,,,-0.8979,Negative
Before Sunset,2004,"Drama, Romance",8.1,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",236311,5820649.0,Average,,,0.0,Neutral
Salinui chueok,2003,"Crime, Drama, Mystery",8.1,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",139558,14131.0,Average,,,-0.9062,Negative
Dil Chahta Hai,2001,"Comedy, Drama, Romance",8.1,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",66803,300000.0,Average,,,0.7964,Positive
Kill Bill: Vol. 1,2003,"Action, Crime, Drama",8.1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",1000639,70099045.0,Average,,,-0.6124,Negative
Finding Nemo,2003,"Animation, Adventure, Comedy",8.1,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",949565,380843261.0,Hit,,,0.3818,Positive
Catch Me If You Can,2002,"Biography, Crime, Drama",8.1,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",832846,164615351.0,Hit,,,-0.1779,Negative
Amores perros,2000,"Drama, Thriller",8.1,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",223741,5383834.0,Average,,,-0.8834,Negative
"Monsters, Inc.",2001,"Animation, Adventure, Comedy",8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",815505,289916256.0,Hit,,,-0.7322,Negative
Lagaan: Once Upon a Time in India,2001,"Adventure, Drama, Musical",8.1,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,105036,70147.0,Average,,,0.0,Neutral
The Sixth Sense,1999,"Drama, Mystery, Thriller",8.1,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,911573,293506292.0,Hit,,,-0.128,Negative
La leggenda del pianista sull'oceano,1998,"Drama, Music, Romance",8.1,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",59020,259127.0,Average,,,0.0,Neutral
The Truman Show,1998,"Comedy, Drama",8.1,An insurance salesman discovers his whole life is actually a reality TV show.,939631,125618201.0,Hit,,,0.0,Neutral
"Crna macka, beli macor",1998,"Comedy, Crime, Romance",8.1,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,50862,348660.0,Average,,,-0.2732,Negative
The Big Lebowski,1998,"Comedy, Crime, Sport",8.1,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",732620,17498804.0,Average,,,-0.4404,Negative
Fa yeung nin wah,2000,"Drama, Romance",8.1,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",124383,2734044.0,Average,,,0.4043,Positive
Trainspotting,1996,Drama,8.1,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",634716,16501785.0,Average,,,0.7003,Positive
Fargo,1996,"Crime, Drama, Thriller",8.1,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,617444,24611975.0,Average,,,-0.5423,Negative
Underground,1995,"Comedy, Drama, War",8.1,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.",55220,171082.0,Average,,,-0.5574,Negative
La haine,1995,"Crime, Drama",8.1,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,150345,309811.0,Average,,,-0.8176,Negative
Before Sunrise,1995,"Drama, Romance",8.1,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",272291,5535405.0,Average,,,-0.34,Negative
Trois couleurs: Rouge,1994,"Drama, Mystery, Romance",8.1,A model discovers a retired judge is keen on invading people's privacy.,90729,4043686.0,Average,,,0.3612,Positive
Chung Hing sam lam,1994,"Comedy, Crime, Drama",8.1,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",63122,600200.0,Average,,,0.7351,Positive
Jurassic Park,1993,"Action, Adventure, Sci-Fi",8.1,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,867615,402453882.0,Hit,,,-0.6808,Negative
In the Name of the Father,1993,"Biography, Crime, Drama",8.1,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,156842,25010410.0,Average,,,-0.1749,Negative
Ba wang bie ji,1993,"Drama, Music, Romance",8.1,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,25088,5216888.0,Average,,,-0.1761,Negative
Dà hóng denglong gaogao guà,1991,"Drama, History, Romance",8.1,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",29662,2603061.0,Average,,,-0.0516,Negative
Dead Poets Society,1989,"Comedy, Drama",8.1,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,425457,95860116.0,Average,,,0.0,Neutral
Stand by Me,1986,"Adventure, Drama",8.1,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",363401,52287414.0,Average,,,0.0258,Neutral
Platoon,1986,"Drama, War",8.1,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",381222,138530565.0,Hit,,,-0.936,Negative
"Paris, Texas",1984,Drama,8.1,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",91188,2181987.0,Average,,,-0.296,Negative
Kaze no tani no Naushika,1984,"Animation, Adventure, Fantasy",8.1,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,150924,495770.0,Average,,,-0.8885,Negative
The Thing,1982,"Horror, Mystery, Sci-Fi",8.1,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,371271,13782838.0,Average,,,-0.3182,Negative
Pink Floyd: The Wall,1982,"Drama, Fantasy, Music",8.1,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,76081,22244207.0,Average,,,-0.9081,Negative
Fanny och Alexander,1982,Drama,8.1,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",57784,4971340.0,Average,,,-0.0516,Negative
Blade Runner,1982,"Action, Sci-Fi, Thriller",8.1,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",693827,32868943.0,Average,,,0.0,Neutral
Life of Brian,1979,Comedy,8.1,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",367250,20045115.0,Average,,,0.25,Positive
The Deer Hunter,1978,"Drama, War",8.1,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,311361,48979328.0,Average,,,-0.5994,Negative
Rocky,1976,"Drama, Sport",8.1,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,518546,117235247.0,Hit,,,0.7906,Positive
Zerkalo,1975,"Biography, Drama",8.1,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",40081,177345.0,Average,,,-0.5994,Negative
Chinatown,1974,"Drama, Mystery, Thriller",8.1,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",294230,29000000.0,Average,,,-0.8519,Negative
Paper Moon,1973,"Comedy, Crime, Drama",8.1,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",42285,30933743.0,Average,,,0.1027,Positive
Viskningar och rop,1972,Drama,8.1,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",30206,1742348.0,Average,,,-0.6597,Negative
Le samouraï,1967,"Crime, Drama, Mystery",8.1,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,45434,39481.0,Average,,,0.0,Neutral
Cool Hand Luke,1967,"Crime, Drama",8.1,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",161984,16217773.0,Average,,,-0.296,Negative
Andrei Rublev,1966,"Biography, Drama, History",8.1,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",46947,102021.0,Average,,,0.0,Neutral
La battaglia di Algeri,1966,"Drama, War",8.1,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",53089,55908.0,Average,,,-0.872,Negative
What Ever Happened to Baby Jane?,1962,"Drama, Horror, Thriller",8.1,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,50058,4050000.0,Average,,,-0.4019,Negative
Jungfrukällan,1960,Drama,8.1,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",26697,1526000.0,Average,,,-0.0772,Negative
Ben-Hur,1959,"Adventure, Drama, History",8.1,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",219466,74700000.0,Average,,,-0.7003,Negative
Le notti di Cabiria,1957,Drama,8.1,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,42940,752045.0,Average,,,-0.3716,Negative
The Bridge on the River Kwai,1957,"Adventure, Drama, War",8.1,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",203463,44908000.0,Average,,,-0.7579,Negative
On the Waterfront,1954,"Crime, Drama, Thriller",8.1,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,142107,9600000.0,Average,,,-0.2263,Negative
Ace in the Hole,1951,"Drama, Film-Noir",8.1,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",31568,3969893.0,Average,,,-0.6808,Negative
The Third Man,1949,"Film-Noir, Mystery, Thriller",8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",158731,449191.0,Average,,,-0.1779,Negative
The Red Shoes,1948,"Drama, Music, Romance",8.1,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,30935,10900000.0,Average,,,0.4019,Positive
The Shop Around the Corner,1940,"Comedy, Drama, Romance",8.1,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",28450,203300.0,Average,,,0.7579,Positive
Rebecca,1940,"Drama, Mystery, Romance",8.1,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,123942,4360000.0,Average,,,-0.6486,Negative
Mr. Smith Goes to Washington,1939,"Comedy, Drama",8.1,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",107017,9600000.0,Average,,,0.0516,Positive
Gone with the Wind,1939,"Drama, History, Romance",8.1,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,290074,198676459.0,Hit,,,-0.0772,Negative
La Grande Illusion,1937,"Drama, War",8.1,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",33829,172885.0,Average,,,-0.3182,Negative
It Happened One Night,1934,"Comedy, Romance",8.1,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",94016,4360000.0,Average,,,-0.6124,Negative
La passion de Jeanne d'Arc,1928,"Biography, Drama, History",8.1,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",47676,21877.0,Average,,,-0.0516,Negative
Sunrise: A Song of Two Humans,1927,"Drama, Romance",8.1,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,46865,539540.0,Average,,,0.34,Positive
The General,1926,"Action, Adventure, Comedy",8.1,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",81156,1033895.0,Average,,,-0.3612,Negative
Bajrangi Bhaijaan,2015,"Action, Adventure, Comedy",8.0,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,72245,8178001.0,Average,,,0.0,Neutral
La La Land,2016,"Comedy, Drama, Music",8.0,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",505918,151101803.0,Hit,,,0.6369,Positive
Lion,2016,"Biography, Drama",8.0,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",213970,51739495.0,Average,,,-0.5574,Negative
The Martian,2015,"Adventure, Drama, Sci-Fi",8.0,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",760094,228433663.0,Hit,,,-0.4019,Negative
Zootopia,2016,"Animation, Adventure, Comedy",8.0,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",434143,341268248.0,Hit,,,-0.7184,Negative
Bãhubali: The Beginning,2015,"Action, Drama",8.0,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",102972,6738000.0,Average,,,-0.1027,Negative
Kaguyahime no monogatari,2013,"Animation, Adventure, Drama",8.0,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",38746,1506975.0,Average,,,-0.9022,Negative
Wonder,2017,"Drama, Family",8.0,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",141923,132422809.0,Hit,,,0.7548,Positive
Gully Boy,2019,"Drama, Music, Romance",8.0,A coming-of-age story based on the lives of street rappers in Mumbai.,31886,5566534.0,Average,,,0.0,Neutral
Special Chabbis,2013,"Crime, Drama, Thriller",8.0,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,51069,1079369.0,Average,,,0.3182,Positive
Short Term 12,2013,Drama,8.0,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,81770,1010414.0,Average,,,-0.4588,Negative
Serbuan maut 2: Berandal,2014,"Action, Crime, Thriller",8.0,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",114316,2625803.0,Average,,,0.0,Neutral
The Imitation Game,2014,"Biography, Drama, Thriller",8.0,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",685201,91125683.0,Average,,,-0.296,Negative
Guardians of the Galaxy,2014,"Action, Adventure, Comedy",8.0,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,1043455,333176600.0,Hit,,,-0.7096,Negative
Blade Runner 2049,2017,"Action, Drama, Mystery",8.0,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",461823,92054159.0,Average,,,-0.296,Negative
Her,2013,"Drama, Romance, Sci-Fi",8.0,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",540772,25568251.0,Average,,,-0.3612,Negative
Bohemian Rhapsody,2018,"Biography, Drama, Music",8.0,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",450349,216428042.0,Hit,,,0.0,Neutral
The Revenant,2015,"Action, Adventure, Drama",8.0,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,705589,183637894.0,Hit,,,-0.7906,Negative
The Perks of Being a Wallflower,2012,"Drama, Romance",8.0,An introvert freshman is taken under the wings of two seniors who welcome him to the real world,462252,17738570.0,Average,,,0.4588,Positive
Tropa de Elite 2: O Inimigo Agora é Outro,2010,"Action, Crime, Drama",8.0,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",79200,100119.0,Average,,,-0.8779,Negative
The King's Speech,2010,"Biography, Drama, History",8.0,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",639603,138797449.0,Hit,,,-0.4404,Negative
The Help,2011,Drama,8.0,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",428521,169708112.0,Hit,,,0.0,Neutral
Deadpool,2016,"Action, Adventure, Comedy",8.0,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",902669,363070709.0,Hit,,,-0.8555,Negative
Darbareye Elly,2009,"Drama, Mystery",8.0,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,45803,106662.0,Average,,,0.0,Neutral
Dev.D,2009,"Drama, Romance",8.0,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",28749,10950.0,Average,,,0.2732,Positive
My Name Is Khan,2010,Drama,8.0,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,98575,4018695.0,Average,,,0.34,Positive
Slumdog Millionaire,2008,"Drama, Romance",8.0,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",798882,141319928.0,Hit,,,-0.7003,Negative
Black Swan,2010,"Drama, Thriller",8.0,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",699673,106954678.0,Hit,,,0.4588,Positive
Tropa de Elite,2007,"Action, Crime, Drama",8.0,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",98097,8060.0,Average,,,-0.5719,Negative
The Avengers,2012,"Action, Adventure, Sci-Fi",8.0,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,1260806,623279547.0,Hit,,,-0.128,Negative
Persepolis,2007,"Animation, Biography, Drama",8.0,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,88656,4445756.0,Average,,,0.0,Neutral
Dallas Buyers Club,2013,"Biography, Drama",8.0,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",441614,27298285.0,Average,,,0.4019,Positive
The Pursuit of Happyness,2006,"Biography, Drama",8.0,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,448930,163566459.0,Hit,,,-0.2023,Negative
Blood Diamond,2006,"Adventure, Drama, Thriller",8.0,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",499439,57366262.0,Average,,,-0.1779,Negative
The Bourne Ultimatum,2007,"Action, Mystery, Thriller",8.0,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,604694,227471070.0,Hit,,,-0.8481,Negative
Bin-jip,2004,"Crime, Drama, Romance",8.0,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,50610,238507.0,Average,,,-0.2023,Negative
Sin City,2005,"Crime, Thriller",8.0,"A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption.",738512,74103820.0,Average,,,-0.7964,Negative
Le scaphandre et le papillon,2007,"Biography, Drama",8.0,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,103284,5990075.0,Average,,,-0.0772,Negative
Ratatouille,2007,"Animation, Adventure, Comedy",8.0,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,641645,206445654.0,Hit,,,0.0,Neutral
Casino Royale,2006,"Action, Adventure, Thriller",8.0,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",582239,167445960.0,Hit,,,-0.9153,Negative
Kill Bill: Vol. 2,2004,"Action, Crime, Thriller",8.0,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",683900,66208183.0,Average,,,0.5859,Positive
